User;Action;real time;ElapsedRealTime;ElapsedRealTimeFromStart;DateTime;Sample Number;ACC X (g);ACC Y (g);ACC Z (g);GYRO X (dps);GYRO Y (dps);GYRO Z (dps);MAGN X (mGs);MAGN Y (mGs);MAGN Z (mGs);ROLL (°);PITCH (°);YAW (°);PRESSURE (Pa);ADHERENCE (on/off);BLUE BAD (?);BLUE GOOD (?);Y (?);X (?);HUMIDITY (%);TEMP (°C);UV A (W/m^2);UV B (W/m^2);UserRealmObject Feedback Tags
1;1;0;7591;8;;63865769;-0.461;-0.895;-0.03;2.9;-3.1;-1.1;-1099;327.5;49.5;1.8;27.3;268.1;102010;0;1;1;19;20;24.85;36.8;0;0.002556;
1;1;1;7592;8;;63865770;-0.459;-0.895;-0.031;2.8;-3.2;-0.8;-1096;327.5;52.5;1.8;27.3;268.1;102010;0;1;1;19;20;24.85;36.8;0;0.002556;
1;1;2;7593;8;;63865771;-0.459;-0.897;-0.031;2.5;-2.9;-0.8;-1100.5;318.5;51;1.8;27.2;268.1;102010;0;1;1;19;20;24.85;36.8;0;0.002556;
1;1;3;7594;8;;63865772;-0.459;-0.9;-0.029;2.3;-2.7;-0.8;-1097.5;330.5;57;1.7;27.2;268;102010;0;1;1;19;20;24.85;36.8;0;0.002556;
1;1;4;7595;8;;63865772;-0.459;-0.896;-0.029;2.3;-2.6;-0.9;-1102;329;55.5;1.7;27.2;268;102012;0;1;1;19;20;24.85;36.8;0.0635;0.005112;
1;1;5;7596;8;;63865776;-0.462;-0.894;-0.028;2.3;-2.8;-0.5;-1102;324.5;60;1.7;27.2;268;102012;0;1;1;19;20;24.85;36.8;0.0635;0.005112;
1;1;6;7597;8;;63865782;-0.462;-0.9;-0.03;2.2;-2.9;-0.2;-1096;320;51;1.7;27.2;267.9;102012;0;1;1;19;20;24.85;36.8;0.0635;0.005112;
1;1;7;7598;8;;63865783;-0.461;-0.902;-0.03;2.1;-3.1;-0.3;-1097.5;323;51;1.7;27.2;267.9;102012;0;1;1;19;20;24.85;36.8;0.0635;0.005112;
1;1;8;7599;8;;63865783;-0.457;-0.901;-0.031;2.2;-3.1;-0.9;-1100.5;329;55.5;1.7;27.2;267.9;102012;0;1;1;19;20;24.91;36.8;0.0635;0.003408;
1;1;9;7600;8;;63865783;-0.456;-0.899;-0.03;2.5;-3;-1;-1097.5;324.5;55.5;1.7;27.2;267.9;102012;0;1;1;19;20;24.91;36.8;0.0635;0.003408;
1;1;10;7601;8;;63865783;-0.456;-0.895;-0.029;2.6;-2.8;-0.9;-1103.5;333.5;63;1.7;27.1;267.8;102012;0;1;1;19;20;24.91;36.8;0.0635;0.003408;
1;1;11;7602;8;;63865784;-0.457;-0.9;-0.025;2.5;-2.8;-0.4;-1097.5;327.5;55.5;1.6;27.1;267.8;102012;0;1;1;19;20;24.91;36.8;0.0635;0.003408;
1;1;12;7603;8;;63865784;-0.46;-0.9;-0.026;2.8;-2.8;-0.1;-1102;320;54;1.6;27.1;267.8;102012;0;1;1;19;20;24.91;36.8;0.0635;0.003408;
1;1;13;7604;8;;63865784;-0.46;-0.892;-0.028;2.7;-2.9;-0.5;-1099;330.5;51;1.6;27.1;267.7;102012;0;1;1;19;20;24.91;36.8;0.0635;0.003408;
1;1;14;7605;9;;63866034;-0.463;-0.899;-0.025;1.9;-3;0;-1094.5;326;52.5;1.6;27.1;267.7;102009;0;1;1;19;20;24.91;36.8;0.127;0.00426;
1;1;15;7606;9;;63866035;-0.455;-0.907;-0.026;2.1;-3;0.3;-1100.5;329;54;1.6;27.1;267.7;102009;0;1;1;19;20;24.91;36.8;0.127;0.00426;
1;1;16;7607;9;;63866035;-0.46;-0.896;-0.027;2.7;-2.9;0;-1091.5;329;57;1.5;27.1;267.7;102009;0;1;1;19;20;24.91;36.8;0.127;0.00426;
1;1;17;7608;9;;63866035;-0.466;-0.893;-0.027;2.1;-3;0;-1102;327.5;57;1.5;27.1;267.6;102009;0;1;1;19;20;24.91;36.8;0.127;0.00426;
1;1;18;7609;9;;63866036;-0.464;-0.893;-0.029;1.5;-3;-0.1;-1094.5;329;49.5;1.5;27.1;267.6;102009;0;1;1;19;20;24.91;36.8;0.127;0.00426;
1;1;19;7610;9;;63866036;-0.464;-0.899;-0.029;1.3;-3.2;-0.4;-1100.5;326;48;1.5;27.1;267.6;102014;0;1;1;19;20;24.87;36.82;0.0635;0.005112;
1;1;20;7611;9;;63866036;-0.463;-0.902;-0.029;1.5;-3.5;-0.5;-1102;324.5;52.5;1.5;27.2;267.5;102014;0;1;1;19;20;24.87;36.82;0.0635;0.005112;
1;1;21;7612;9;;63866038;-0.463;-0.9;-0.031;1.9;-3.8;-0.6;-1102;326;54;1.5;27.2;267.5;102014;0;1;1;19;20;24.87;36.82;0.0635;0.005112;
1;1;22;7613;9;;63866038;-0.461;-0.898;-0.031;2.2;-3.9;-0.3;-1094.5;327.5;55.5;1.5;27.2;267.4;102014;0;1;1;19;20;24.87;36.82;0.0635;0.005112;
1;1;23;7614;9;;63866039;-0.46;-0.899;-0.031;2.3;-3.4;-0.3;-1103.5;330.5;51;1.5;27.2;267.4;102013;0;1;1;19;20;24.87;36.82;0.1905;0.00426;
1;1;24;7615;9;;63866039;-0.46;-0.9;-0.029;2.4;-2.9;-0.4;-1097.5;324.5;57;1.5;27.2;267.3;102013;0;1;1;19;20;24.87;36.82;0.1905;0.00426;
1;1;25;7616;9;;63866039;-0.457;-0.903;-0.028;2.4;-2.5;-0.6;-1096;327.5;55.5;1.5;27.2;267.3;102013;0;1;1;19;20;24.87;36.82;0.1905;0.00426;
1;1;26;7617;9;;63866039;-0.46;-0.902;-0.025;2.6;-2.2;-1;-1100.5;326;49.5;1.5;27.1;267.3;102013;0;1;1;19;20;24.87;36.82;0.1905;0.00426;
1;1;27;7618;9;;63866039;-0.46;-0.897;-0.024;2.7;-2.2;-1;-1100.5;324.5;48;1.5;27.1;267.3;102013;0;1;1;19;20;24.87;36.82;0.1905;0.00426;
1;1;28;7619;9;;63866040;-0.461;-0.899;-0.023;2.2;-2.6;-1.1;-1094.5;327.5;58.5;1.5;27.1;267.2;102013;0;1;1;19;20;24.87;36.82;0.1905;0.00426;
1;1;29;7620;10;;63866333;-0.463;-0.898;-0.022;2.1;-2.8;-1.1;-1099;332;58.5;1.5;27.1;267.2;102014;0;1;1;19;20;24.81;36.85;0.0635;0.003408;
1;1;30;7621;10;;63866334;-0.459;-0.895;-0.023;1.7;-3.2;-0.9;-1109.5;330.5;57;1.5;27.1;267.2;102014;0;1;1;19;20;24.81;36.85;0.0635;0.003408;
1;1;31;7622;10;;63866335;-0.457;-0.895;-0.023;1.2;-3.5;-0.4;-1109.5;326;49.5;1.5;27.1;267.2;102014;0;1;1;19;20;24.81;36.85;0.0635;0.003408;
1;1;32;7623;10;;63866337;-0.453;-0.898;-0.025;1;-3.6;0.1;-1100.5;324.5;52.5;1.5;27.1;267.1;102014;0;1;1;19;20;24.81;36.85;0.0635;0.003408;
1;1;33;7624;10;;63866338;-0.455;-0.906;-0.027;1;-3.6;-0.2;-1090;324.5;52.5;1.4;27.1;267.1;102014;0;1;1;19;20;24.81;36.85;0.0635;0.003408;
1;1;34;7625;10;;63866340;-0.457;-0.902;-0.027;1.3;-3.6;-0.6;-1097.5;327.5;51;1.4;27.1;267;102011;0;1;1;19;20;24.81;36.85;0.0635;0.00426;
1;1;35;7626;10;;63866340;-0.458;-0.9;-0.029;1.3;-3.5;-0.7;-1100.5;323;57;1.5;27;267;102011;0;1;1;19;20;24.81;36.85;0.0635;0.00426;
1;1;36;7627;10;;63866341;-0.458;-0.898;-0.03;1.1;-3.1;-0.3;-1102;326;60;1.5;27;266.9;102011;0;1;1;19;20;24.81;36.85;0.0635;0.00426;
1;1;37;7628;10;;63866342;-0.457;-0.903;-0.028;1.1;-3.2;-0.1;-1097.5;318.5;54;1.5;27;266.9;102011;0;1;1;19;20;24.81;36.85;0.0635;0.00426;
1;1;38;7629;10;;63866342;-0.458;-0.901;-0.029;1.4;-3;-0.4;-1096;327.5;54;1.5;27;266.8;102009;0;1;1;19;20;24.83;36.85;0;0.001704;
1;1;39;7630;10;;63866343;-0.459;-0.899;-0.03;1.5;-3;-0.6;-1103.5;323;57;1.5;27;266.8;102009;0;1;1;19;20;24.83;36.85;0;0.001704;
1;1;40;7631;10;;63866344;-0.459;-0.897;-0.03;1.4;-3.1;-0.6;-1102;323;61.5;1.5;27;266.8;102009;0;1;1;19;20;24.83;36.85;0;0.001704;
1;1;41;7632;10;;63866344;-0.456;-0.898;-0.031;1.5;-3.3;-0.2;-1096;326;55.5;1.6;27;266.7;102009;0;1;1;19;20;24.83;36.85;0;0.001704;
1;1;42;7633;10;;63866344;-0.452;-0.894;-0.029;1.4;-3.2;-0.2;-1099;326;54;1.6;27;266.7;102009;0;1;1;19;20;24.83;36.85;0;0.001704;
1;1;43;7634;10;;63866344;-0.458;-0.903;-0.03;1.3;-3.2;0.2;-1099;329;49.5;1.6;27;266.7;102009;0;1;1;19;20;24.83;36.85;0;0.001704;
1;1;44;7635;11;;63866638;-0.456;-0.906;-0.029;1.5;-3.1;0.5;-1091.5;326;57;1.6;27;266.6;102009;0;1;1;19;20;24.83;36.85;0.127;0.001704;
1;1;45;7636;11;;63866638;-0.458;-0.897;-0.03;2.2;-2.9;0.8;-1103.5;329;58.5;1.6;27;266.6;102009;0;1;1;19;20;24.83;36.85;0.127;0.001704;
1;1;46;7637;11;;63866638;-0.462;-0.893;-0.03;1.7;-3;1;-1100.5;326;60;1.6;27;266.6;102009;0;1;1;19;20;24.83;36.85;0.127;0.001704;
1;1;47;7638;11;;63866639;-0.463;-0.898;-0.027;1.2;-3;0.9;-1100.5;326;54;1.6;27;266.5;102009;0;1;1;19;20;24.83;36.85;0.127;0.001704;
1;1;48;7639;11;;63866639;-0.462;-0.9;-0.029;1.2;-3.2;0.4;-1099;323;54;1.6;27.1;266.5;102009;0;1;1;19;20;24.83;36.85;0.127;0.001704;
1;1;49;7640;11;;63866639;-0.462;-0.9;-0.03;1.3;-3.1;-0.4;-1100.5;327.5;51;1.6;27.1;266.5;102013;0;1;1;19;20;24.85;36.85;0.1905;0.002556;
1;1;50;7641;11;;63866639;-0.462;-0.9;-0.032;1.6;-3.6;-0.6;-1099;324.5;52.5;1.6;27.1;266.4;102013;0;1;1;19;20;24.85;36.85;0.1905;0.002556;
1;1;51;7642;11;;63866639;-0.461;-0.901;-0.033;1.6;-3.7;-0.3;-1093;329;55.5;1.6;27.1;266.4;102013;0;1;1;19;20;24.85;36.85;0.1905;0.002556;
1;1;52;7643;11;;63866639;-0.456;-0.902;-0.033;1.9;-3.2;-0.1;-1097.5;330.5;51;1.6;27.1;266.3;102013;0;1;1;19;20;24.85;36.85;0.1905;0.002556;
1;1;53;7644;11;;63866639;-0.457;-0.905;-0.034;2.2;-2.6;-0.5;-1105;329;45;1.7;27.1;266.3;102010;0;1;1;19;20;24.85;36.85;0;0.002556;
1;1;54;7645;11;;63866639;-0.457;-0.902;-0.03;2.2;-2.2;-0.9;-1105;323;51;1.7;27.1;266.3;102010;0;1;1;19;20;24.85;36.85;0;0.002556;
1;1;55;7646;11;;63866639;-0.46;-0.899;-0.03;2.7;-2;-0.9;-1099;323;57;1.7;27.1;266.3;102010;0;1;1;19;20;24.85;36.85;0;0.002556;
1;1;56;7647;11;;63866640;-0.461;-0.892;-0.029;3;-2.1;-0.5;-1100.5;323;54;1.7;27;266.3;102010;0;1;1;19;20;24.85;36.85;0;0.002556;
