User;Activity;realtime;ElapsedRealTime;ElapsedRealTimeFromStart;DateTime;Sample Number;ACC X (g);ACC Y (g);ACC Z (g);GYRO X (dps);GYRO Y (dps);GYRO Z (dps);MAGN X (mGs);MAGN Y (mGs);MAGN Z (mGs);ROLL (°);PITCH (°);YAW (°);PRESSURE (Pa);ADHERENCE (on/off);BLUE BAD (?);BLUE GOOD (?);Y (?);X (?);HUMIDITY (%);TEMP (°C);UV A (W/m^2);UV B (W/m^2);UserRealmObject Feedback Tags
2;4;5869;6438;62;;64302351;0.179;-1.021;0.11;-3.3;-0.9;1.5;-1417;272;-240;1.7;-13.3;243.9;101953;0;1;1;19;19;24.28;41.01;0.127;0.001704;
2;4;5870;6439;62;;64302351;0.172;-1.037;0.111;-3.4;2.8;1.8;-1415.5;269;-246;1.7;-13.2;244;101953;0;1;1;19;19;24.28;41.01;0.127;0.001704;
2;4;5871;6440;62;;64302351;0.17;-1.05;0.116;-3.4;6.3;2.2;-1411;270.5;-243;1.8;-13.2;244.1;101955;0;1;1;19;19;24.28;41.01;0.1905;0.00426;
2;4;5872;6441;62;;64302352;0.17;-1.08;0.117;-2.8;9;2;-1406.5;272;-238.5;1.8;-13.1;244.3;101955;0;1;1;19;19;24.28;41.01;0.1905;0.00426;
2;4;5873;6442;62;;64302352;0.174;-1.104;0.114;-1.4;11.1;1;-1405;269;-243;1.8;-13.1;244.6;101955;0;1;1;19;19;24.28;41.01;0.1905;0.00426;
2;4;5874;6443;62;;64302352;0.187;-1.184;0.106;1.6;14;-1.8;-1402;264.5;-244.5;1.8;-13.2;244.9;101955;0;1;1;19;19;24.28;41.01;0.1905;0.00426;
2;4;5875;6444;62;;64302352;0.204;-1.305;0.105;4;15.5;-4.3;-1409.5;267.5;-247.5;1.7;-13.2;245.2;101956;0;1;1;19;19;24.24;41.04;0.127;0.001704;
2;4;5876;6445;62;;64302352;0.184;-1.298;0.09;7.6;17;-7;-1414;264.5;-252;1.6;-13.3;245.5;101956;0;1;1;19;19;24.24;41.04;0.127;0.001704;
2;4;5877;6446;62;;64302352;0.183;-1.289;0.069;11.4;18.6;-7.2;-1409.5;269;-249;1.3;-13.4;245.9;101956;0;1;1;19;19;24.24;41.04;0.127;0.001704;
2;4;5878;6447;62;;64302353;0.181;-1.351;0.057;13.5;20;-6.1;-1408;269;-247.5;1.1;-13.5;246.3;101956;0;1;1;19;19;24.24;41.04;0.127;0.001704;
2;4;5879;6448;62;;64302353;0.155;-1.245;0.04;16.3;21.6;-4.1;-1411;272;-252;0.7;-13.6;246.7;101956;0;1;1;19;19;24.24;41.04;0.127;0.001704;
2;4;5880;6449;62;;64302353;0.129;-1.128;0.026;17.9;22.9;-0.2;-1406.5;264.5;-256.5;0.3;-13.7;247.1;101956;0;1;1;19;19;24.24;41.04;0.127;0.001704;
2;4;5881;6450;63;;64302661;0.112;-1.022;0.023;18.9;23.8;3.3;-1406.5;276.5;-264;0;-13.7;247.5;101953;0;1;1;19;18;24.24;41.04;0;0.002556;
2;4;5882;6451;63;;64302662;0.114;-0.979;0.033;18.2;23.9;5.9;-1405;270.5;-261;-0.5;-13.7;248;101953;0;1;1;19;18;24.24;41.04;0;0.002556;
2;4;5883;6452;63;;64302662;0.119;-1.009;0.047;15.4;22.9;4.7;-1396;267.5;-271.5;-0.8;-13.6;248.4;101953;0;1;1;19;18;24.24;41.04;0;0.002556;
2;4;5884;6453;63;;64302662;0.115;-0.987;0.057;11.3;20.8;1;-1400.5;273.5;-273;-1.2;-13.5;248.8;101953;0;1;1;19;18;24.24;41.04;0;0.002556;
2;1;5885;6454;63;;64302663;0.102;-0.914;0.057;4.3;17.4;-1.6;-1396;275;-282;-1.4;-13.5;249.3;101953;0;1;1;19;18;24.24;41.04;0;0.002556;
2;1;5886;6455;63;;64302663;0.111;-0.921;0.058;1.2;16.8;-1.3;-1388.5;282.5;-280.5;-1.7;-13.5;249.6;101952;0;1;1;19;18;24.28;41.01;0.0635;0.005112;
2;1;5887;6456;63;;64302664;0.122;-0.926;0.059;-1.6;17.8;0;-1402;270.5;-283.5;-1.8;-13.4;250.1;101952;0;1;1;19;18;24.28;41.01;0.0635;0.005112;
2;1;5888;6457;63;;64302664;0.126;-0.909;0.059;-3.8;19.6;0.9;-1394.5;276.5;-289.5;-1.8;-13.4;250.5;101952;0;1;1;19;18;24.28;41.01;0.0635;0.005112;
2;1;5889;6458;63;;64302665;0.126;-0.91;0.057;-6.1;21.6;1.6;-1390;272;-291;-1.8;-13.4;251;101952;0;1;1;19;18;24.28;41.01;0.0635;0.005112;
2;1;5890;6459;63;;64302666;0.118;-0.894;0.047;-7.7;23.8;2.7;-1391.5;272;-286.5;-1.8;-13.3;251.6;101954;0;1;1;19;18;24.28;41.01;0;0.000852;
2;1;5891;6460;63;;64302666;0.101;-0.876;0.042;-10.8;24.4;4.7;-1387;267.5;-291;-1.7;-13.3;252;101954;0;1;1;19;18;24.28;41.01;0;0.000852;
2;1;5892;6461;63;;64302667;0.108;-0.871;0.042;-12.1;24.2;5.6;-1387;267.5;-289.5;-1.6;-13.2;252.7;101954;0;1;1;19;18;24.28;41.01;0;0.000852;
2;1;5893;6462;63;;64302667;0.114;-0.875;0.044;-10.2;23.3;3.9;-1381;264.5;-288;-1.6;-13.1;253.2;101954;0;1;1;19;18;24.28;41.01;0;0.000852;
